OBS,GPA,HSM,HSS,HSE,SATM,SATCR,SATW
1,3.84,10,10,10,630,570,590
2,3.97,10,10,10,750,700,630
3,3.49,8,10,9,570,510,490
4,1.95,6,4,8,640,600,610
5,2.59,8,10,9,510,490,490
6,3,7,10,10,660,680,630
7,1.78,9,9,9,630,490,510
8,2.41,6,6,7,670,620,610
9,2.83,9,8,10,550,570,540
10,0.6,7,7,9,640,720,630
11,3.98,10,10,10,630,560,540
12,1.52,8,8,7,650,550,460
13,2.82,10,10,9,610,540,490
14,3.09,10,10,10,670,330,540
15,3.79,9,10,10,550,580,560
16,3.2,9,10,9,580,490,420
17,3.62,10,10,10,720,620,570
18,1.74,10,9,6,780,540,620
19,2.02,7,5,6,660,520,600
20,2.29,10,10,10,690,750,680
21,3.13,10,10,9,660,620,590
22,2.96,8,9,6,660,670,750
23,4,10,10,10,640,620,620
24,2.89,8,7,8,620,610,570
25,3.95,10,10,10,770,780,760
26,1.71,10,10,8,800,750,650
27,3.23,8,8,8,650,590,480
28,2.07,8,8,8,570,560,560
29,1.29,2,6,8,480,490,650
30,4,10,10,10,630,630,620
31,2.94,9,10,10,490,510,490
32,3.89,10,10,10,680,730,740
33,3.34,7,7,6,700,420,460
34,3.52,9,10,8,740,740,620
35,3.75,10,10,10,650,690,670
36,3.55,6,7,5,630,420,400
37,3.46,8,9,9,590,600,560
38,2.02,7,9,8,690,690,640
39,1.56,8,5,6,650,600,510
40,3.97,10,10,10,730,660,660
41,1.36,8,10,10,590,560,510
42,4,10,10,10,630,580,490
43,3.31,10,10,9,600,570,510
44,2.28,8,9,8,590,400,480
45,3.65,8,9,9,680,650,650
46,2.34,10,10,9,660,530,610
47,2.06,8,9,9,650,550,570
48,3.25,9,7,8,640,540,540
49,3.45,10,10,10,600,570,530
50,2.31,9,7,7,580,530,510
51,4,10,10,9,630,570,630
52,2.5,10,9,7,620,550,430
53,3.08,8,8,8,620,560,490
54,3.38,10,9,10,670,690,550
55,2.69,8,6,6,550,510,460
56,3.64,9,9,9,600,590,590
57,3.26,10,10,10,510,450,470
58,1.49,8,9,9,500,540,530
59,2.93,8,4,4,550,480,470
60,2.92,7,9,8,740,600,640
61,3.99,10,10,10,750,610,640
62,3.27,8,10,9,480,450,560
63,3.05,9,9,10,700,560,550
64,3.36,8,10,9,520,490,470
65,0.03,5,7,8,460,450,500
66,2.57,7,9,8,520,550,570
67,3.33,7,8,7,610,450,480
68,3.06,8,9,10,630,560,650
69,2.39,6,8,9,620,530,480
70,2.21,8,10,10,500,510,590
71,2.99,10,10,10,580,480,530
72,4,10,10,10,760,650,630
73,1.2,8,7,7,520,480,560
74,3.28,9,10,9,610,540,460
75,3.87,10,10,10,690,580,570
76,2.52,8,8,8,510,480,460
77,3.32,9,9,9,580,490,480
78,1.02,9,9,7,560,560,560
79,2.91,6,9,10,580,700,640
80,2.14,10,10,10,700,650,640
81,2.5,10,10,10,520,480,440
82,3.36,10,9,10,640,580,630
83,3.51,7,9,8,650,640,640
84,2.36,6,5,8,540,520,520
85,1.87,6,7,8,700,580,560
86,3.45,10,10,10,770,760,730
87,2.96,8,7,9,500,540,610
88,3.24,6,7,8,660,640,610
89,3.32,9,9,10,730,640,670
90,3.71,10,10,10,710,760,660
91,3.18,9,10,10,620,620,550
92,3.59,10,9,10,690,580,560
93,2.93,8,9,9,490,530,550
94,3.93,9,10,10,690,740,670
95,1.41,8,8,9,690,410,460
96,1.9,6,7,7,540,720,650
97,3.45,10,10,9,640,670,600
98,3.06,9,10,9,590,450,460
99,1.85,8,8,8,570,520,520
100,3.13,9,10,10,550,530,520
101,1.81,7,7,7,550,510,490
102,2.38,9,6,8,640,580,640
103,2.45,9,10,9,720,670,700
104,3.19,6,7,8,540,510,490
105,2.23,7,7,8,690,620,570
106,1.83,5,7,10,560,550,560
107,3.38,7,8,9,630,640,530
108,3.43,9,8,9,670,600,590
109,2.74,9,7,7,780,610,680
110,4,10,10,10,710,600,630
111,2.93,8,8,10,610,480,440
112,1.68,7,8,8,650,530,450
113,3.71,9,10,9,620,500,520
114,1.72,7,8,9,530,610,540
115,1.63,10,9,9,540,600,560
116,0.85,10,9,9,560,520,470
117,2.94,8,10,10,630,700,580
118,3.37,10,9,9,560,460,480
119,3.15,8,8,7,690,670,670
120,2.96,10,10,10,550,560,490
121,3.48,9,9,9,710,660,610
122,2.05,10,10,10,670,550,620
123,1.66,10,9,10,580,480,470
124,3.12,10,9,9,530,480,480
125,2.78,9,9,8,520,490,520
126,3.33,10,9,10,650,580,480
127,2.57,6,7,7,560,550,540
128,3.1,8,9,9,710,600,730
129,2.3,8,9,10,630,540,500
130,2.74,10,10,8,570,450,590
131,2.19,10,10,10,700,530,560
132,3.36,10,10,10,690,580,570
133,3.03,10,10,10,630,540,580
134,3.49,8,9,8,600,660,620
135,3.88,10,10,10,740,640,690
136,2.71,9,8,9,510,430,500
137,2.55,10,10,10,720,800,670
138,2.82,8,8,9,610,550,590
139,3.65,10,9,10,620,530,520
140,3.75,10,10,10,770,730,770
141,2.59,6,8,9,590,650,630
142,1.99,9,9,9,540,500,480
143,2.57,6,7,6,580,520,560
144,3.99,9,9,10,680,650,590
145,2.31,10,9,10,590,660,480
146,2.75,9,10,9,580,590,520
147,1.72,8,7,7,520,400,430
148,3.73,9,10,10,630,630,620
149,3.62,10,10,8,640,560,540
150,3.23,10,10,10,640,510,350
